home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Nott'ham Forest,Aston Villa,Premier League,Matchweek 11,11/5/2023,2,-0.8,0.9578785700281027,0,0.0,43.3154534718993,43.3154534718993
Luton Town,Liverpool,Premier League,Matchweek 11,11/5/2023,0,-1.8,0.92075,3,0.0,99.95937772645323,150.50201918294488
Tottenham,Chelsea,Premier League,Matchweek 11,11/6/2023,-3,-3.2,0.9945860591021881,5,0.0,10.034395880339678,10.034395880339678
Manchester Utd,Luton Town,Premier League,Matchweek 12,11/11/2023,1,1.8,0.9718477241816429,-3,613.621477161211,134.04826617521897,134.04826617521897
Arsenal,Burnley,Premier League,Matchweek 12,11/11/2023,2,1.5,0.9922245651027939,-4,0.0,178.1061015824509,178.1061015824509
Wolves,Tottenham,Premier League,Matchweek 12,11/11/2023,1,1.4,0.9872698907956319,2,0.0,110.96158391521435,110.96158391521435
Crystal Palace,Everton,Premier League,Matchweek 12,11/11/2023,-1,0.7,0.9561226433060369,0,0.0,186.0219860056356,186.0219860056356
Bournemouth,Newcastle Utd,Premier League,Matchweek 12,11/11/2023,2,1.9,0.9334166666666667,3,0.0,406.05901230726573,293.1171610832654
West Ham,Nott'ham Forest,Premier League,Matchweek 12,11/12/2023,1,0.1,0.99952,-4,0.0,107.7314523271027,107.7314523271027
Liverpool,Brentford,Premier League,Matchweek 12,11/12/2023,3,0.1,0.8221475409836065,-5,709.1786430213159,174.73492174379578,174.73492174379578
Aston Villa,Fulham,Premier League,Matchweek 12,11/12/2023,2,2.1,0.9757973733583489,-5,0.0,100.55472658396246,100.55472658396246
Chelsea,Manchester City,Premier League,Matchweek 12,11/12/2023,0,0,0.9440477611940299,1,0.0,162.0652890815292,162.0652890815292
Brighton,Sheffield Utd,Premier League,Matchweek 12,11/12/2023,0,0.4,0.9651384615384615,-5,237.85615632454343,183.03575186533246,183.03575186533246
Manchester City,Liverpool,Premier League,Matchweek 13,11/25/2023,0,0.7,0.968591526255521,0,0.0,31.4968174112666,31.4968174112666
Newcastle Utd,Chelsea,Premier League,Matchweek 13,11/25/2023,3,1.9,0.998508746773731,1,0.0,248.53854365256566,248.53854365256566
Sheffield Utd,Bournemouth,Premier League,Matchweek 13,11/25/2023,-2,-2.1,0.9237355513424256,-1,0.0,182.73057869518593,182.73057869518593
Nott'ham Forest,Brighton,Premier League,Matchweek 13,11/25/2023,-1,0.6,0.9608522318802692,0,0.0,150.39496189655355,150.39496189655355
